QuizName,QuizClass,FirstName,LastName,StudentID,CustomID,Earned Points,Possible Points,PercentCorrect,QuizCreated,DataExported,Key Version,Stu1,PriKey1,Points1,Mark1,Stu2,PriKey2,Points2,Mark2,Stu3,PriKey3,Points3,Mark3,Stu4,PriKey4,Points4,Mark4,Stu5,PriKey5,Points5,Mark5,Stu6,PriKey6,Points6,Mark6,Stu7,PriKey7,Points7,Mark7,Stu8,PriKey8,Points8,Mark8,Stu9,PriKey9,Points9,Mark9,Stu10,PriKey10,Points10,Mark10,Stu11,PriKey11,Points11,Mark11,Stu12,PriKey12,Points12,Mark12,Stu13,PriKey13,Points13,Mark13,Stu14,PriKey14,Points14,Mark14,Stu15,PriKey15,Points15,Mark15,Stu16,PriKey16,Points16,Mark16,Stu17,PriKey17,Points17,Mark17,Stu18,PriKey18,Points18,Mark18,Stu19,PriKey19,Points19,Mark19,Stu20,PriKey20,Points20,Mark20,Stu21,PriKey21,Points21,Mark21,Stu22,PriKey22,Points22,Mark22,Stu23,PriKey23,Points23,Mark23,Stu24,PriKey24,Points24,Mark24,Stu25,PriKey25,Points25,Mark25,Stu26,PriKey26,Points26,Mark26,Stu27,PriKey27,Points27,Mark27,Stu28,PriKey28,Points28,Mark28,Stu29,PriKey29,Points29,Mark29,Stu30,PriKey30,Points30,Mark30,Stu31,PriKey31,Points31,Mark31,Stu32,PriKey32,Points32,Mark32,Stu33,PriKey33,Points33,Mark33,Stu34,PriKey34,Points34,Mark34,Stu35,PriKey35,Points35,Mark35,Stu36,PriKey36,Points36,Mark36,Stu37,PriKey37,Points37,Mark37,Stu38,PriKey38,Points38,Mark38,Stu39,PriKey39,Points39,Mark39,Stu40,PriKey40,Points40,Mark40,Stu41,PriKey41,Points41,Mark41,Stu42,PriKey42,Points42,Mark42,Stu43,PriKey43,Points43,Mark43,Stu44,PriKey44,Points44,Mark44,Stu45,PriKey45,Points45,Mark45
Level 2 Amravati ,,,,5121048,,48,180,26.67,16/11/18 0:00,10/05/19 9:07,1,D,A,0,X,C,D,0,X,A,B,0,X,D,B,0,X,D,D,4,C,C,D,0,X,C,A,0,X,C,B,0,X,B,C,0,X,C,D,0,X,C,C,4,C,C,A,0,X,D,C,0,X,D,B,0,X,B,B,4,C,D,A,0,X,A,D,0,X,C,B,0,X,A,B,0,X,B,B,4,C,B,C,0,X,D,D,4,C,A,C,0,X,C,D,0,X,C,D,0,X,A,C,0,X,B,D,0,X,D,B,0,X,B,A,0,X,D,C,0,X,B,B,4,C,A,B,0,X,C,C,4,C,B,C,0,X,D,B,0,X,A,C,0,X,B,B,4,C,C,C,4,C,A,C,0,X,B,A,0,X,C,C,4,C,B,A,0,X,D,D,4,C,B,C,0,X,D,D,4,C
Level 2 Amravati ,,,,5121049,,96,180,53.33,16/11/18 0:00,10/05/19 9:07,1,D,A,0,X,C,D,0,X,A,B,0,X,A,B,0,X,B,D,0,X,AB,D,0,X,D,A,0,X,B,B,4,C,C,C,4,C,B,D,0,X,C,C,4,C,A,A,4,C,C,C,4,C,D,B,0,X,B,B,4,C,B,A,0,X,A,D,0,X,D,B,0,X,A,B,0,X,BD,B,0,X,A,C,0,X,A,D,0,X,C,C,4,C,D,D,4,C,D,D,4,C,C,C,4,C,B,D,0,X,C,B,0,X,A,A,4,C,C,C,4,C,D,B,0,X,B,B,4,C,C,C,4,C,C,C,4,C,B,B,4,C,C,C,4,C,B,B,4,C,D,C,0,X,A,C,0,X,A,A,4,C,C,C,4,C,A,A,4,C,D,D,4,C,C,C,4,C,D,D,4,C
Level 2 Amravati ,,,,5121050,,116,180,64.44,16/11/18 0:00,10/05/19 9:07,1,D,A,0,X,C,D,0,X,B,B,4,C,B,B,4,C,C,D,0,X,B,D,0,X,A,A,4,C,B,B,4,C,C,C,4,C,D,D,4,C,C,C,4,C,A,A,4,C,C,C,4,C,A,B,0,X,B,B,4,C,,A,0,X,B,D,0,X,D,B,0,X,A,B,0,X,C,B,0,X,A,C,0,X,C,D,0,X,C,C,4,C,D,D,4,C,D,D,4,C,C,C,4,C,B,D,0,X,B,B,4,C,A,A,4,C,C,C,4,C,D,B,0,X,B,B,4,C,C,C,4,C,C,C,4,C,B,B,4,C,C,C,4,C,B,B,4,C,D,C,0,X,A,C,0,X,A,A,4,C,C,C,4,C,A,A,4,C,D,D,4,C,C,C,4,C,D,D,4,C
Level 2 Amravati ,,,,5121051,,96,180,53.33,16/11/18 0:00,10/05/19 9:07,2,D,A,0,X,B,D,0,X,A,B,0,X,B,B,4,C,C,D,0,X,B,D,0,X,C,A,0,X,B,B,4,C,D,C,0,X,D,D,4,C,C,C,4,C,A,A,4,C,C,C,4,C,D,B,0,X,B,B,4,C,B,A,0,X,B,D,0,X,D,B,0,X,A,B,0,X,B,B,4,C,C,C,4,C,C,D,0,X,C,C,4,C,D,D,4,C,B,D,0,X,C,C,4,C,B,D,0,X,C,B,0,X,B,A,0,X,C,C,4,C,B,B,4,C,B,B,4,C,C,C,4,C,C,C,4,C,B,B,4,C,B,C,0,X,B,B,4,C,D,C,0,X,D,C,0,X,A,A,4,C,D,C,0,X,A,A,4,C,D,D,4,C,C,C,4,C,D,D,4,C
Level 2 Amravati ,,,,5121051,,76,180,42.22,16/11/18 0:00,10/05/19 9:07,2,D,A,0,X,A,D,0,X,A,B,0,X,A,B,0,X,B,D,0,X,A,D,0,X,A,A,4,C,B,B,4,C,A,C,0,X,B,D,0,X,A,C,0,X,B,A,0,X,A,C,0,X,A,B,0,X,B,B,4,C,A,A,4,C,B,D,0,X,D,B,0,X,B,B,4,C,B,B,4,C,A,C,0,X,C,D,0,X,B,C,0,X,B,D,0,X,B,D,0,X,C,C,4,C,B,D,0,X,B,B,4,C,B,A,0,X,C,C,4,C,B,B,4,C,B,B,4,C,C,C,4,C,C,C,4,C,B,B,4,C,B,C,0,X,A,B,0,X,C,C,4,C,D,C,0,X,A,A,4,C,A,C,0,X,B,A,0,X,D,D,4,C,C,C,4,C,D,D,4,C
Level 2 Amravati ,,,,5121053,,100,180,55.56,16/11/18 0:00,10/05/19 9:07,1,A,A,4,C,A,D,0,X,A,B,0,X,B,B,4,C,C,D,0,X,C,D,0,X,B,A,0,X,B,B,4,C,C,C,4,C,D,D,4,C,C,C,4,C,A,A,4,C,C,C,4,C,A,B,0,X,B,B,4,C,A,A,4,C,A,D,0,X,D,B,0,X,A,B,0,X,D,B,0,X,A,C,0,X,A,D,0,X,C,C,4,C,D,D,4,C,C,D,0,X,C,C,4,C,B,D,0,X,BC,B,0,X,B,A,0,X,C,C,4,C,D,B,0,X,B,B,4,C,C,C,4,C,C,C,4,C,B,B,4,C,C,C,4,C,B,B,4,C,D,C,0,X,A,C,0,X,A,A,4,C,B,C,0,X,A,A,4,C,D,D,4,C,C,C,4,C,D,D,4,C
Level 2 Amravati ,,,,5121054,,108,180,60,16/11/18 0:00,10/05/19 9:07,1,A,A,4,C,A,D,0,X,A,B,0,X,B,B,4,C,C,D,0,X,A,D,0,X,B,A,0,X,B,B,4,C,C,C,4,C,D,D,4,C,C,C,4,C,A,A,4,C,C,C,4,C,A,B,0,X,B,B,4,C,A,A,4,C,A,D,0,X,D,B,0,X,A,B,0,X,D,B,0,X,A,C,0,X,A,D,0,X,C,C,4,C,D,D,4,C,C,D,0,X,C,C,4,C,B,D,0,X,B,B,4,C,B,A,0,X,C,C,4,C,D,B,0,X,B,B,4,C,C,C,4,C,C,C,4,C,B,B,4,C,C,C,4,C,B,B,4,C,D,C,0,X,A,C,0,X,A,A,4,C,C,C,4,C,A,A,4,C,D,D,4,C,C,C,4,C,D,D,4,C
Level 2 Amravati ,,,,5121055,,76,180,42.22,16/11/18 0:00,10/05/19 9:07,1,AB,A,0,X,A,D,0,X,A,B,0,X,B,B,4,C,C,D,0,X,A,D,0,X,B,A,0,X,B,B,4,C,C,C,4,C,B,D,0,X,C,C,4,C,C,A,0,X,C,C,4,C,D,B,0,X,B,B,4,C,A,A,4,C,A,D,0,X,D,B,0,X,A,B,0,X,D,B,0,X,A,C,0,X,A,D,0,X,C,C,4,C,B,D,0,X,C,D,0,X,A,C,0,X,B,D,0,X,C,B,0,X,B,A,0,X,C,C,4,C,D,B,0,X,B,B,4,C,C,C,4,C,C,C,4,C,D,B,0,X,C,C,4,C,B,B,4,C,D,C,0,X,D,C,0,X,A,A,4,C,C,C,4,C,B,A,0,X,D,D,4,C,C,C,4,C,D,D,4,C
Level 2 Amravati ,,,,5121056,,96,180,53.33,16/11/18 0:00,10/05/19 9:07,1,A,A,4,C,A,D,0,X,A,B,0,X,B,B,4,C,C,D,0,X,A,D,0,X,B,A,0,X,B,B,4,C,C,C,4,C,D,D,4,C,C,C,4,C,A,A,4,C,C,C,4,C,D,B,0,X,B,B,4,C,A,A,4,C,A,D,0,X,D,B,0,X,A,B,0,X,D,B,0,X,A,C,0,X,B,D,0,X,C,C,4,C,D,D,4,C,C,D,0,X,C,C,4,C,B,D,0,X,C,B,0,X,B,A,0,X,C,C,4,C,C,B,0,X,B,B,4,C,C,C,4,C,C,C,4,C,B,B,4,C,C,C,4,C,B,B,4,C,D,C,0,X,A,C,0,X,A,A,4,C,C,C,4,C,D,A,0,X,C,D,0,X,C,C,4,C,D,D,4,C
Level 2 Amravati ,,,,5121057,,92,180,51.11,16/11/18 0:00,10/05/19 9:07,1,A,A,4,C,A,D,0,X,A,B,0,X,B,B,4,C,C,D,0,X,A,D,0,X,B,A,0,X,B,B,4,C,C,C,4,C,CD,D,0,X,C,C,4,C,A,A,4,C,C,C,4,C,D,B,0,X,B,B,4,C,B,A,0,X,A,D,0,X,D,B,0,X,A,B,0,X,D,B,0,X,B,C,0,X,A,D,0,X,C,C,4,C,D,D,4,C,C,D,0,X,C,C,4,C,B,D,0,X,C,B,0,X,B,A,0,X,C,C,4,C,D,B,0,X,B,B,4,C,C,C,4,C,C,C,4,C,B,B,4,C,C,C,4,C,B,B,4,C,D,C,0,X,A,C,0,X,A,A,4,C,B,C,0,X,A,A,4,C,D,D,4,C,C,C,4,C,D,D,4,C
